sequence_id,time_step,current_frequency_mhz,next_frequency_mhz
0,0,2474.7956445899954,2476.6717725795115
0,1,2476.6717725795115,2479.0231843704896
0,2,2479.0231843704896,2474.145596398855
0,3,2474.145596398855,2470.890147631699
0,4,2470.890147631699,2471.2097486396174
0,5,2471.2097486396174,2470.4191421587584
0,6,2470.4191421587584,2470.377139264998
0,7,2470.377139264998,2468.244529446064
0,8,2468.244529446064,2470.443024383221
0,9,2470.443024383221,2472.3875042217937
0,10,2472.3875042217937,2472.552580965697
0,11,2472.552580965697,2475.370683983117
0,12,2475.370683983117,2476.539457338747
0,13,2476.539457338747,2474.391226181539
0,14,2474.391226181539,2475.313103141745
0,15,2475.313103141745,2472.9158966396726
0,16,2472.9158966396726,2475.1120223929406
0,17,2475.1120223929406,2474.987207615475
0,18,2474.987207615475,2474.525051706612
0,19,2474.525051706612,2472.822727845602
0,20,2472.822727845602,2475.8790811922872
0,21,2475.8790811922872,2475.4927574871153
0,22,2475.4927574871153,2474.4219379317074
0,23,2474.4219379317074,2473.541604055487
0,24,2473.541604055487,2474.87237701937
0,25,2474.87237701937,2475.7859871802802
0,26,2475.7859871802802,2476.8178187092703
0,27,2476.8178187092703,2477.89487121679
0,28,2477.89487121679,2483.248990218966
0,29,2483.248990218966,2482.2329526780045
0,30,2482.2329526780045,2480.952345855326
0,31,2480.952345855326,2478.917914034706
0,32,2478.917914034706,2480.457862591145
0,33,2480.457862591145,2483.2802933229473
0,34,2483.2802933229473,2482.99542467881
0,35,2482.99542467881,2480.895033486404
0,36,2480.895033486404,2478.833830447176
0,37,2478.833830447176,2480.4603124167375
0,38,2480.4603124167375,2482.318447844746
0,39,2482.318447844746,2483.676333515509
0,40,2483.676333515509,2482.0125592472873
0,41,2482.0125592472873,2482.5929625549543
0,42,2482.5929625549543,2482.884677077806
0,43,2482.884677077806,2483.4313985696285
0,44,2483.4313985696285,2485.609970514499
0,45,2485.609970514499,2486.1689593864357
0,46,2486.1689593864357,2487.8662432941155
0,47,2487.8662432941155,2488.035190967838
0,48,2488.035190967838,2488.757989464563
0,49,2488.757989464563,2490.3362100291592
0,50,2490.3362100291592,2486.69332047952
0,51,2486.69332047952,2485.8941424386267
0,52,2485.8941424386267,2484.7182108028946
0,53,2484.7182108028946,2483.1210161822864
0,54,2483.1210161822864,2482.4331605542197
0,55,2482.4331605542197,2486.170513832306
0,56,2486.170513832306,2484.005936043073
0,57,2484.005936043073,2486.4266319295516
0,58,2486.4266319295516,2482.219457500512
0,59,2482.219457500512,2481.3822449255476
0,60,2481.3822449255476,2481.7891275883103
0,61,2481.7891275883103,2483.2546834167083
0,62,2483.2546834167083,2485.0327498661904
0,63,2485.0327498661904,2487.01611795419
0,64,2487.01611795419,2486.144305273569
0,65,2486.144305273569,2484.9884257919075
0,66,2484.9884257919075,2487.1333654950504
0,67,2487.1333654950504,2486.6551046828463
0,68,2486.6551046828463,2483.4658888745016
0,69,2483.4658888745016,2480.632670839493
0,70,2480.632670839493,2478.334040124489
0,71,2478.334040124489,2479.5769419846233
0,72,2479.5769419846233,2479.9330063248
0,73,2479.9330063248,2481.6592197099694
0,74,2481.6592197099694,2480.5910880941283
0,75,2480.5910880941283,2480.98743732182
0,76,2480.98743732182,2482.551413306738
0,77,2482.551413306738,2481.7780469574377
0,78,2481.7780469574377,2482.9199850513314
0,79,2482.9199850513314,2481.2651701986647
0,80,2481.2651701986647,2480.357535582252
0,81,2480.357535582252,2479.403190847256
0,82,2479.403190847256,2476.4135917332837
0,83,2476.4135917332837,2477.6310229352475
0,84,2477.6310229352475,2476.4575170847406
0,85,2476.4575170847406,2476.48875238156
0,86,2476.48875238156,2477.690619028825
0,87,2477.690619028825,2478.8069469689
0,88,2478.8069469689,2480.470409741332
0,89,2480.470409741332,2480.2241960300585
0,90,2480.2241960300585,2479.165950249948
0,91,2479.165950249948,2478.966654722682
0,92,2478.966654722682,2474.748318637787
0,93,2474.748318637787,2471.1305374567296
0,94,2471.1305374567296,2467.8237884258438
0,95,2467.8237884258438,2465.33067135684
0,96,2465.33067135684,2466.3301069236486
0,97,2466.3301069236486,2464.0664092852485
0,98,2464.0664092852485,2463.12100290015
1,0,2496.0269778071192,2497.870766728287
1,1,2497.870766728287,2495.536722528262
1,2,2495.536722528262,2495.023128633593
1,3,2495.023128633593,2492.6480734963166
1,4,2492.6480734963166,2491.800490806565
1,5,2491.800490806565,2493.9012611502085
1,6,2493.9012611502085,2489.5829600922275
1,7,2489.5829600922275,2490.669019201092
1,8,2490.669019201092,2491.2633582069225
1,9,2491.2633582069225,2489.7779833176805
1,10,2489.7779833176805,2486.162838681709
1,11,2486.162838681709,2486.343162450994
1,12,2486.343162450994,2485.0194306783346
1,13,2485.0194306783346,2485.6011212067215
1,14,2485.6011212067215,2485.65575157053
1,15,2485.65575157053,2489.660198798832
1,16,2489.660198798832,2489.0618097301494
1,17,2489.0618097301494,2486.5030659985946
1,18,2486.5030659985946,2486.9512550859854
1,19,2486.9512550859854,2487.501246795915
1,20,2487.501246795915,2490.8992157340163
1,21,2490.8992157340163,2492.9869938488027
1,22,2492.9869938488027,2493.8791714966765
